user_genome	classification	ID
PLC320.17	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC320.17
PLC320.18	Bifidobacterium longum	Bifidobacterium longum PLC320.18
PLC320.2	Anaerostipes hadrus	Anaerostipes hadrus PLC320.2
PLC320.4	Intestinibacter bartlettii	Intestinibacter bartlettii PLC320.4
PLC320.9	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC320.9
PLC321.29	Prevotella copri_A	Prevotella copri_A PLC321.29
PLC321.7	Alistipes_A indistinctus	Alistipes_A indistinctus PLC321.7
PLC322.1	Acutalibacteraceae	Acutalibacteraceae PLC322.1
PLC322.10	Oscillospiraceae	Oscillospiraceae PLC322.10
PLC322.13	Dialister succinatiphilus	Dialister succinatiphilus PLC322.13
PLC322.15	Clostridia	Clostridia PLC322.15
PLC322.24	Eubacterium_R sp000436835	Eubacterium_R sp000436835 PLC322.24
PLC322.25	UMGS1071 sp934476545	UMGS1071 sp934476545 PLC322.25
PLC322.29	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC322.29
PLC322.31	Roseburia hominis	Roseburia hominis PLC322.31
PLC322.34	Collinsella sp003436275	Collinsella sp003436275 PLC322.34
PLC323.1	Holdemanella sp900556915	Holdemanella sp900556915 PLC323.1
PLC323.15	Agathobacter rectalis	Agathobacter rectalis PLC323.15
PLC323.2	Faecousia sp900540635	Faecousia sp900540635 PLC323.2
PLC323.4	TANB77	TANB77 PLC323.4
PLC323.5	Eisenbergiella sp900066775	Eisenbergiella sp900066775 PLC323.5
PLC324.16	Catenibacterium sp000437715	Catenibacterium sp000437715 PLC324.16
PLC324.19	TANB77	TANB77 PLC324.19
PLC324.25	Agathobacter rectalis	Agathobacter rectalis PLC324.25
PLC324.27	Haemophilus_D parainfluenzae	Haemophilus_D parainfluenzae PLC324.27
PLC324.29	Ruminococcus_D bicirculans	Ruminococcus_D bicirculans PLC324.29
PLC324.33	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC324.33
PLC324.36	Acutalibacteraceae	Acutalibacteraceae PLC324.36
PLC324.7	Pseudoruminococcus massiliensis	Pseudoruminococcus massiliensis PLC324.7
PLC326.14	Prevotella sp015074785	Prevotella sp015074785 PLC326.14
PLC326.2	Ruminococcus_D bicirculans	Ruminococcus_D bicirculans PLC326.2
PLC326.25	Bacteroides uniformis	Bacteroides uniformis PLC326.25
PLC326.7	Wujia chipingensis	Wujia chipingensis PLC326.7
PLC327.16	Escherichia coli	Escherichia coli PLC327.16
PLC327.6	Fimivicinus sp900544375	Fimivicinus sp900544375 PLC327.6
PLC327.7	Enterococcus faecalis	Enterococcus faecalis PLC327.7
PLC328.1	Collinsella intestinalis	Collinsella intestinalis PLC328.1
PLC328.3	Blautia_A wexlerae	Blautia_A wexlerae PLC328.3
PLC328.5	Bifidobacterium longum	Bifidobacterium longum PLC328.5
PLC328.8	Gemmiger qucibialis	Gemmiger qucibialis PLC328.8
PLC329.1	Gemmiger sp900539695	Gemmiger sp900539695 PLC329.1
PLC329.20	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC329.20
PLC329.9	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC329.9
PLC330.1	Eisenbergiella sp900066775	Eisenbergiella sp900066775 PLC330.1
PLC330.17	Akkermansia sp001580195	Akkermansia sp001580195 PLC330.17
PLC330.21	Acutalibacteraceae	Acutalibacteraceae PLC330.21
